Participant ID;HG1 groove;HG1 like;HG1 familiar;HG2 groove;HG2 like;HG2 familiar;HG3 groove;HG3 like;HG3 familiar;HG4 groove;HG4 like;HG4 familiar;HG5 groove;HG5 like;HG5 familiar;HG6 groove;HG like;HG familiar;HG7 groove;HG7 like;HG7 familiar;HG8 groove;HG8 like;HG8 familiar;HG9 groove;HG9 like;HG9 familiar;HG10 groove;HG10 like;HG10 familiar;LG1 groove;LG1 like;LG1 familiar;LG2 groove;LG2 like;LG2 familiar;LG3 groove;LG3 like;LG3 familiar;LG4 groove;LG4 like;LG4 familiar;LG5 groove;LG5 like;LG5 familiar;LG6 groove;LG6 like;LG6 familiar;LG7 groove;LG7 like;LG7 familiar;LG8 groove;LG8 like;LG8 familiar;LG9 groove;LG9 like;LG9 familiar;LG10 groove;LG10 like;LG10 familiar
61514;7;7;7;7;5;1;7;7;7;7;7;7;6;4;4;6;5;1;5;3;1;4;7;7;6;3;1;5;3;1;5;3;1;4;3;1;2;2;1;3;2;1;4;5;1;2;2;1;1;1;1;4;2;1;1;1;1;1;1;1
61771;7;7;7;5;2;1;6;3;2;5;4;7;5;5;4;6;2;2;5;2;2;4;5;7;6;7;7;7;7;7;1;7;7;2;5;5;5;2;1;1;2;1;4;3;2;1;4;1;2;2;1;1;2;1;1;5;1;1;2;1
64980;7;7;1;7;7;3;7;7;1;7;7;1;7;6;2;7;7;1;6;6;1;7;7;7;7;7;6;6;5;1;4;3;2;5;5;1;5;5;1;4;4;1;6;7;4;4;6;2;4;5;2;3;5;1;3;3;1;2;4;1
65916;5;5;6;4;4;1;3;2;1;6;6;7;4;3;1;4;4;1;2;2;1;2;5;7;5;6;5;5;5;5;2;6;6;1;3;1;4;4;1;2;3;1;1;5;1;1;2;1;2;5;1;2;2;1;1;3;1;1;3;1
66729;2;4;7;3;7;5;7;6;7;4;4;7;4;2;5;2;3;5;4;3;5;3;3;7;7;7;7;7;5;7;1;4;5;1;5;7;1;4;5;1;4;5;1;6;6;2;6;5;1;3;5;1;3;2;2;6;5;1;3;2
67958;7;6;6;7;6;3;7;6;1;7;5;6;7;4;5;7;6;1;6;5;1;7;7;7;7;6;5;7;7;3;5;2;2;5;6;2;5;6;3;2;3;1;5;6;5;5;5;6;5;6;4;6;6;2;3;2;1;4;6;3
70532;7;7;7;7;7;1;6;5;1;7;7;7;4;5;2;4;4;1;5;6;2;3;7;7;7;7;7;7;7;7;2;5;7;1;6;1;4;5;1;1;5;3;2;5;1;1;5;1;2;7;1;1;6;1;1;6;1;1;4;1
70785;7;7;7;6;5;1;7;4;1;6;4;1;6;4;1;5;4;1;5;2;1;3;6;7;4;3;4;4;4;3;1;1;1;1;3;1;2;1;1;1;1;1;2;5;1;1;2;1;1;1;1;2;3;1;1;5;1;1;1;1
71091;7;7;7;7;7;7;7;7;5;7;7;5;7;7;4;7;7;5;7;6;3;7;7;7;3;5;3;7;7;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
71708;6;7;6;6;5;4;2;4;1;5;6;5;5;5;2;5;4;1;5;4;1;5;5;2;6;7;7;4;6;6;2;7;7;2;6;2;2;5;2;2;5;2;3;6;2;2;6;2;4;7;2;4;5;1;1;6;3;2;6;5
71955;7;7;7;7;5;1;7;7;7;5;5;7;7;7;7;5;3;2;5;4;1;4;5;6;5;5;3;7;6;7;5;7;7;4;4;1;2;3;1;1;2;1;1;3;1;2;4;1;3;3;1;2;5;3;1;4;1;1;2;1
